source,target,relationship,cidoc_property,source_document,source_locator,evidence_type,confidence,notes
place_aksum,place_seglamen_site_sg1,LOCATED_AT,P53_has_former_or_current_location,S3,S3 line 598,explicit_pattern_match,0.75,"Pattern-matched sentence: ""404 | L. Sernicola, Archaeollogical Expedittiion at Aksum…… 2018 and 2019 Field Seasonns: Seglamen Fig. 7 - a) Grinndstone (mațhaan) and top..."""
place_beta_giyorgis,place_d_site_kidane_mehret,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
place_beta_giyorgis,person_king_kaleb,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
place_beta_giyorgis,period_aksumite,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
place_beta_giyorgis,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
place_d_site_kidane_mehret,person_king_kaleb,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
place_d_site_kidane_mehret,period_aksumite,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
place_d_site_kidane_mehret,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
person_king_kaleb,period_aksumite,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
person_king_kaleb,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
period_aksumite,object_inscription,LOCATED_AT,P53_has_former_or_current_location,S4,S4 line 373,explicit_pattern_match,0.75,"Pattern-matched sentence: ""everyday living conditions and local economy practised The site slopes down to the south, from about 44 m by the non-elite echelons of ancie..."""
feature_trenches,person_king_ezana,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
feature_trenches,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
feature_trenches,object_pottery,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
feature_trenches,object_inscription,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
person_king_ezana,period_late_aksumite,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
person_king_ezana,object_pottery,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
person_king_ezana,object_inscription,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
period_late_aksumite,object_pottery,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
period_late_aksumite,object_inscription,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
object_pottery,object_inscription,DATED_TO,P4_has_time-span,S4,S4 line 403,explicit_pattern_match,0.8,"Pattern-matched sentence: ""The underlying solid geology is granitic After a long hiatus, a more restricted area (or possibly overlain by varied clays which were expose..."""
place_aksum,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 773,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Archaeology at Aksum fragment was found in DI9, in phase-I2 deposits cov- could be assigned to this phase. Contexts (342) and ering Late Aks..."""
feature_trench_d22,feature_trenches,MADE_OF,P45_consists_of,S4,S4 line 1160,explicit_pattern_match,0.75,"Pattern-matched sentence: ""B I I i I I ~j Fig. 252 Plan of I trench D22 in phase 3A. o'==========-----------========~3m B =Boulder may represent deliberate cuttings or..."""
feature_trench_d22,feature_room_4,MADE_OF,P45_consists_of,S4,S4 line 1160,explicit_pattern_match,0.75,"Pattern-matched sentence: ""B I I i I I ~j Fig. 252 Plan of I trench D22 in phase 3A. o'==========-----------========~3m B =Boulder may represent deliberate cuttings or..."""
feature_trenches,feature_room_4,MADE_OF,P45_consists_of,S4,S4 line 1160,explicit_pattern_match,0.75,"Pattern-matched sentence: ""B I I i I I ~j Fig. 252 Plan of I trench D22 in phase 3A. o'==========-----------========~3m B =Boulder may represent deliberate cuttings or..."""
place_tomb_of_the_brick_arches,place_d_site_kidane_mehret,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_tomb_of_the_brick_arches,place_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_tomb_of_the_brick_arches,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_tomb_of_the_brick_arches,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_tomb_of_the_brick_arches,object_ceramics,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_tomb_of_the_brick_arches,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_d_site_kidane_mehret,place_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_d_site_kidane_mehret,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_d_site_kidane_mehret,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_d_site_kidane_mehret,object_ceramics,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_d_site_kidane_mehret,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_aksum,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_aksum,object_ceramics,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_aksum,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
period_late_aksumite,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
period_late_aksumite,object_ceramics,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
period_late_aksumite,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
period_aksumite,object_ceramics,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
period_aksumite,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
object_ceramics,object_pottery,FOUND_AT,P7_took_place_at,S4,S4 line 1950,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Late Aksumite ceramics exhibit decreasing Censer? technological competence, firing being less controlled One tapering open-vessel rim with s..."""
place_d_site_kidane_mehret,place_tomb_of_the_brick_arches,FOUND_AT,P7_took_place_at,S4,S4 line 2121,explicit_pattern_match,0.8,"Pattern-matched sentence: ""ing, mixing and serving food. They are usually poorly Seven examples from phases 10 and 11 could be refired in a reduced atmosphere, resulti..."""
period_late_aksumite,period_pre_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2317,explicit_pattern_match,0.8,"Pattern-matched sentence: ""A pot (Fig. 279b) from an interior floor of phase 10, with apparently globular body, sloping Lids shoulder and short square everted rim, has..."""
place_d_site_kidane_mehret,place_k_site_maleke_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
place_d_site_kidane_mehret,feature_trenches,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
place_k_site_maleke_aksum,place_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
place_k_site_maleke_aksum,feature_trenches,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
place_k_site_maleke_aksum,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
place_aksum,feature_trenches,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
feature_trenches,period_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2374,explicit_pattern_match,0.8,"Pattern-matched sentence: ""African Red Slip (ARS) ware: Although these vessels clearly influenced Aksumite ceramic styles, very few imported examples were recovered. T..."""
place_aksum,place_k_site_maleke_aksum,FOUND_AT,P7_took_place_at,S4,S4 line 2401,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Sassanian-Islamic ware, and it is here called Sassanian by Fig. 283j, has a strongly exterior-thickened overblue-green glazed to avoid any i..."""
place_k_site_maleke_aksum,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2401,explicit_pattern_match,0.8,"Pattern-matched sentence: ""Sassanian-Islamic ware, and it is here called Sassanian by Fig. 283j, has a strongly exterior-thickened overblue-green glazed to avoid any i..."""
place_d_site_kidane_mehret,period_classical_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2531,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and 455-8, below). While no evidence for occupation 287e) indicates that it is coil-made like Pre-and Protoof D site during these periods wa..."""
period_aksumite,period_classical_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2531,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and 455-8, below). While no evidence for occupation 287e) indicates that it is coil-made like Pre-and Protoof D site during these periods wa..."""
period_aksumite,period_late_aksumite,FOUND_AT,P7_took_place_at,S4,S4 line 2531,explicit_pattern_match,0.8,"Pattern-matched sentence: ""and 455-8, below). While no evidence for occupation 287e) indicates that it is coil-made like Pre-and Protoof D site during these periods wa..."""
